Lid,Address,Latitude,Longitude
P0271,"Gravette, Benton, Arkansas, USA",34.485476,-92.585282
P0068,"Green Valley, Arizona, USA",31.838223,-110.955483
P0199,"Green, Marshall, Indiana, USA",39.8481,-87.18779
P0089,"Greenfield, LaGrange, Indiana, USA",41.655135,-85.387208
P0081,"Greenville, Somerset, Pennsylvania, USA",39.750979,-78.983709
P4035,"Grodzen, Kujawsko-Pomorskie, Poland",43.232502,-75.07288
P0590,"Hamilton County, Tennessee, USA",35.163472,-85.201843
P4153,"Hamilton, Indiana, USA",41.572304,-84.897465
P4102,"Hampton, Virginia, USA",37.072658,-76.38992
P0898,"Hanna, Indiana, USA",41.378592,-86.788687
P0142,"Harris, St Joseph, Indiana, USA",41.66859,-86.272048
P0586,"Harrison, Hamilton, Tennessee, USA",35.11368,-85.13801
P0031,"Heimbach-Weis, Neuwied, Rhineland-Palatinate, Germany",50.4501346,7.5437528
P0058,"Hemet, Riverside County, California, United States of America",33.667301,-116.963506
P4177,"Hobart, Indiana, USA",41.53226,-87.25504
P0162,"Holmes, Ohio, USA",40.863060,-83.045420
P0171,"Hopewell, Huntingdon, Pennsylvania, United States",40.515893,-78.372216
P2036,"Howard, Fayette, Illinois, USA",39.001125,-89.017923
P0910,"Hudson Lake, LaPorte, Indiana, USA",41.625073,-86.710651
P1300,"Illinois, USA",40.102875,-89.152611
P0108,"Indiana, USA",39.903026,-86.28395
P1727,"Indianapolis, Marion, Indiana, USA",40.953809,-85.258234
P2829,"Indianola, Vermilion County, Illinois, USA",39.939685,-87.730068
P2690,"Inwood, Marshall, Indiana, USA",41.636564,-86.215787
P0079,"Jackson, Steuben, Indiana, USA",41.635838,-85.005306
P0258,"Jasper, Indiana",38.360357,-86.929481
P0145,"Jay, Essex, New York, United States",44.374714,-73.71252
P4105,"Kankakee, Illinois, United States",41.111151,-87.874618
P0594,"Kansas, USA",38.498546,-98.38343
P2805,"Kentucky, USA",37.533684,-85.29298
P0030,"Khlopchytsi, Lviv Oblast, Ukraine",49.611,23.416859
P0193,Klein Zirkwitz,33.125987,-81.342607
P0191,Kneirklacz,,
P4191,"Knopp-Labach, Pfalz, Bavaria",44.947538,-92.07521
P2017,"Knox, Holmes, Ohio, USA",,
P0033,"Koblenz, Rhineland-Palatinate, Germany",50.3533278,7.5943951
P0043,"Kopychyntsi, Ternopil Oblast, Ukraine",49.1068616,25.9085276
P4026,Krzczonów,,
P0255,"La Crosse, La Porter, Indiana",41.615594,-87.0742
P1170,"La Paz, Marshall, Indiana, USA",39.777909,-87.22669
P0904,"La Place, Piatt, Illinois, USA",39.798287,-88.727157
P0004,"La Porte, LaPorte, Indiana, USA",41.537585,-86.73764
P1983,"Labach, Rosenheim, Bayern, Germany",48.9467562,11.4038717
P1876,"Lacrosse, LaPorte, Indiana, USA",41.537585,-86.73764
P4104,"Lake, Indiana, United States",41.4193829,-87.3692227
P0914,Lang-Ley Field,33.51791,-81.844
P0905,"LaPlace, Piatt County, Illinois, USA",39.798287,-88.727157
P0082,"Larimer, Somerset, Pennsylvania, USA",40.531468,-79.516662
P0929,"Lexington, Scott, Indiana, USA",41.733662,-85.55693
P0090,"Liberty, St Joseph, Indiana, USA",41.419792,-86.232583
P0600,"Liberty, Van Buren, Arkansas, USA",35.463349,-94.341426
P2698,"Logansport, Cass, Indiana, USA",40.77927,-86.375168
P2019,"Londen, Fayette, Illinois, USA",38.963853,-89.107806
P0083,"Lower Heidelberg, Pennsylvania, United States",40.506999,-79.931345
P2794,"Lycoming County, Pennsylvania, USA",41.343882,-77.055262
P0091,"Madison Twp, St Joseph, Indiana, USA",41.579321,-86.277469
P0149,"Manchester, Dearborn, Indiana, USA",39.151722,-85.012178
P0437,"Maniowy, Maloposkie, Poland",43.232502,-75.07288
P1636,"Marcellus, Cass, Michigan",42.008635,-85.857579
P2688,"Marquette, Mich.",46.54354,-87.39542
P1260,"Marshall County, Indiana, United States of America",41.325003,-86.269036
P4070,"Medaryville, Pulaski, Indiana, USA",41.072624,-86.849745
P0086,"Meyersdale, Somerset, Pennsylvania, USA",39.990045,-79.08745
P1039,Michigan,44.844176,-85.660493
P0180,"Michigan City, LaPorte, Indiana, USA",41.605195,-86.716021
P1168,"Michigan, USA",44.844176,-85.660493
P0169,"Milford, Somerset, Pennsylvania",40.30472,-78.922597
P1089,"Milspa, Parker County, Texas",33.186697,-96.710948
P0100,"Milton, Cass, Michigan, USA",41.788100,-86.166740
P0202,"Mishawaka, St Joseph, Indiana, USA",41.66586,-86.214218
P4182,"Molde, Møre Og Romsdal, Norway",45.857201,-87.917602
P0278,"Monroe, Clermont, Ohio, USA",39.448492,-84.374549
P0147,"Monticello, Jones, Iowa, USA",42.23834,-91.18709
P3423,"Moschitz, Sankt Veit An Der Glan, Carinthia, Austria",46.142206,-123.795996
P0467,"Mount Prospect, Illinois, USA",42.062377,-87.931797
P0256,"Muncie, Delaware, Indiana, USA",40.142124,-85.389874
P0434,"Nawosilci, Ukraine",,
P0023,"New Carlisle, St Joseph, Indiana, USA",41.564037,-86.324094
P0018,"New Orleans, Orleans, Louisiana, USA",29.958304,-90.077
P0186,"New York, New York, USA",40.750422,-73.996328
P2803,Nicholas.Kentucky,38.338031,-84.026223
P0034,"Niederlahnstein, Rhein-Lahn-Kreis, Rhineland-Palatinate, Germany",50.3116569519043,7.60226202011108
P1247,"Niles, Berrien, Michigan, USA",41.832805,-86.230825
P0452,"Niles, Cook, Illinois, USA",42.031179,-87.811163
P0925,"Noble Twp, Noble, LaPorte, Indiana, USA",41.610639,-86.71466
P0444,"Noblesville, Indiana, USA",40.073328,-85.999521
P3358,"North Judson, Starke, Indiana, USA",41.25163,-86.735127
P0074,"North Liberty, St Joseph, Indiana, USA",41.341517,-86.302672
P0104,"North Studebaker Street, South Bend, Indiana, USA",41.679037,-86.272212
P1631,Norway,45.857201,-87.917602
P0440,"Nowy Targ, Malopolskie, Poland",43.232502,-75.07288
P1802,Oak Park .,41.888545,-87.798933
P0284,"Ohio, Clermont, Ohio, USA",38.953682,-84.076136
P0301,"Ohio, USA",40.41493,-82.711998
P0435,Oklahoma,35.590051,-97.486815
P4124,"Onsaburg Twp, Stark, Ohio, USA",40.788320,-81.282620
P0608,"Ooltewah, Hamilton, Tennessee, USA",35.120227,-85.060369
P1025,"Osceola, Indiana, USA",41.669504,-86.087002
P0099,"Osnaburg, Stark, Ohio, USA",40.78832,-81.28262
P1256,"Osolo, Elkhart, Indiana, USA",41.721455,-85.946659
P0468,"Palatine, Illinois, USA",42.097976,-88.014072
P1977,"Palos, Cook, Illinois, USA",,
P0462,"Park Ridge, Illinois, USA",42.037228,-87.843714
P4180,"Pasco, Florida",28.341557,-82.198375
P0196,"Penn, St Joseph, Indiana, USA",41.683474,-86.101228
P0129,"Pennsylvania, USA",40.902496,-77.833451
P0138,"Peters, Franklin, Pennsylvania, USA",39.794596,-76.968506
P0916,"Piatt County, Illinois, USA",40.450313,-88.763958
P0274,"Pineville, McDonald, Missouri, USA",36.573955,-94.377022
P0213,"Plymouth, Marshall, Indiana, USA",39.8481,-87.18779
P0059,Poland,43.232502,-75.07288
P0206,"Polk, Marshall, Indiana, USA",41.464951,-86.378476
P1261,"Portage Twp, South Bend, St Joseph, Indiana, USA",41.738402,-86.294605
P0280,"Porter County, Indiana, USA",41.615594,-87.0742
P1200,"Portsnouth, Ohio, USA",,
P0917,"Prairie, La Porte, Indiana, USA",41.537585,-86.73764
P0593,"Prairie, McDonald, Missouri, USA",36.627955,-94.343716
P1182,"Precinct 17, Waterloo, Lauderdale, Alabama, USA",34.805601,-87.693477
P0902,"Rancisville, Pulaska Co., In.",40.975318,-86.658343
P1203,"Randolph, Randolph Towhead, Tipton, Tennessee",35.414319,-89.818781
P0037,"Rastatt, Germany",48.8574209,8.2088088
P1800,"Ridgedale Road, South Bend",41.643985,-86.22651
P1175,"Ridgefarm, Illinois",39.910953,-87.615286
P1804,Riverside ( Calif.,33.99504,-117.373184
P4207,"Rochester, Kent, England",34.54426,-91.96903
P0908,"Rolling Prairie, La Porte, Indiana, USA",41.676888,-86.621484
P1176,"Ross, Edgar, Illinois, USA",39.755591,-87.701136
P0591,"Round Prairie, Benton, Arkansas, USA",34.485476,-92.585282
P0260,"Roundhead, Hardin, Ohio",40.573227,-83.846199
P4126,"Roxbury Township, Morris County, New Jersey",39.987335,-75.044339
P1058,"Rt 1, Big Fish Lake, Marcellus",,
P0261,"Rt. 1 , Union Mills",,
P0911,"Rt. 2, Mew Carlisle",,
P0266,"Rural, La Porter, Indiana",41.615594,-87.0742
P0899,"Rural, Lapeer, Indiana",40.106712,-84.966076
P0472,"Rural, LaPorte, Indiana",41.537585,-86.73764
P0200,"Rural, Marshall, Indiana",41.042633,-86.025315
P0918,"Rural, Porter, Indiana",41.615594,-87.0742
P2695,"Rural, Tipton, Indiana",40.311418,-86.063107
P1171,"Russellville, Franklin, Alabama, USA",34.480207,-87.563257
P1046,"Russia, Poland",43.232502,-75.07288
P1044,"Rzeszów, Miasto Rzeszów, Podkarpackie, Poland",43.232502,-75.07288
P2020,"Saint Elmo, Fayette County, Illinois, USA",39.025319,-88.852372
P1620,"Saint Joseph, Indiana, USA",37.926457,-87.665531
P3365,"Salem, Salem, Pulaski, Indiana, USA",40.982703,-86.883885
P0069,"San Angelo, Texas, USA",31.44451,-100.533397
P1029,"San Jose, California, USA",37.346608,-121.909871
P1034,"San Jose, Santa Clara, California, USA",37.308318,-121.876606
P1033,"Santa Clara, California, USA",37.351158,-121.952295
P1849,"Savanaugh, Tenn.",,
P1779,"Schoolcraft, Michigan",42.135078,-85.656846
P2796,"Sefton, Fayette, Illinois, USA",39.001125,-89.017923
P0603,"Sevier, Tennessee, USA",35.737569,-87.473903
P0470,"Shumway, Illinois",39.18504,-88.65228
P0080,"Somerset, Pennsylvania, USA",39.990045,-79.08745
P0075,"South Bend Ward 1, Saint Joseph, Indiana, USA",,
P0096,"South Bend Ward 2, Saint Joseph, Indiana, USA",,
P1793,"South Bend Ward 4, Saint Joseph, Indiana, USA",,
P0025,"South Bend, St Joseph, Indiana, USA",41.70847,-86.372173
P0094,"South Bend; Mishawaka, St Joseph County, Indiana, USA",41.70847,-86.372173
P0067,"South Bend; Mishawaka; Ardmore, Indiana, USA",41.70847,-86.372173
P0095,"South Bend; Mishawaka; River Park, Indiana, USA",39.13926,-86.544658
P1185,"South Jackson Street, Mishawaka, Ind.",41.615082,-86.14782
P0599,"Sparta Ward 2, Monroe, Wisconsin, USA",42.699949,-89.867661
P0133,"Springfield, LaGrange, Indiana, USA",41.592798,-85.88272
P2016,"St Elmo, Fayette, Illinois",39.025319,-88.852372
P0290,"St John's, Newfoundland, Canada",45.39677,-65.98223
P1394,"St Joseph County, Indiana, USA",41.617723,-86.288048
P2015,"St. Elmo, Ill.",39.025319,-88.852372
P4077,"St. Joseph, Indiana, USA",37.926457,-87.665531
P4109,"st. stanislaus kostka parish, Poland",36.85884,-120.45601
P1213,"Star City, Pulaski, Indiana, USA",40.974774,-86.430253
P4075,"Starke, Indiana, United States",,
P0112,"Stetson, Penobscot, Maine, USA",44.912283,-68.969491
P0078,"Steuben, De Kalb, Indiana, USA,",41.643467,-85.002405
P2683,Sturgis MI,41.842913,-85.478265
P0587,"Subdivision 26, Bradley, Tennessee, USA",35.153914,-84.859414
P1979,"Summit, Effingham, Illinois, USA",39.116649,-88.545705
P0176,"Summit, Somerset, Pennsylvania, USA",39.990045,-79.08745
P2692,"Syracuse, IN",41.42783,-85.75249
P1280,"Temple, Texas, USA",31.068306,-97.3047
P0606,"Tennessee, USA",35.858564,-86.349357
P0598,Texas,31.434703,-99.281824
P0066,This City,,
P0150,"Thomaston, Knox, Maine, USA",44.07993,-69.18015
P4083,"Tippecanoe, Indiana, USA",41.215971,-86.12282
P1202,"Tiptu County, TN",35.858564,-86.349357
P0132,"Troy, Ashland, Ohio, USA",40.880148,-82.317053
P4123,"Tuscarawas, Tuscarawas, Ohio, United States",40.210715,-81.585169
P0205,"Tyner, Marshall, Indiana, USA",41.224317,-85.85734
P0459,Ukraine,49,32
P0449,Undetermined,,
P0281,"Union Mills, LaPorte, Indiana, USA",41.537585,-86.73764
P1615,"Union, St Joseph, Indiana, USA",37.926457,-87.665531
P2828,"Upper Mount Bethel, Northampton, Pennsylvania, USA",40.897540,-75.117290
P4148,"Upper Turkey Foot, Somerset, Pennsylvania, USA ",39.914301,-78.915866
P0152,USA,39.7837304,-100.445882
P1021,"Uvalde County, Texas, USA",29.240446,-99.727018
P0881,"Valparaiso, Porter, Indiana, USA",41.615594,-87.0742
P2825,"Vermilion, Illinois, USA",39.58115,-87.58891
P0921,"Visalia, Tulare, California, USA",36.677665,-119.00558
P1644,"Walkerton County, Indiana, USA",41.488957,-86.446734
P0273,"Wallace, Benton, Arkansas, USA",34.485476,-92.585282
P0177,"Wallingford, Connecticut, USA",41.456205,-72.811047
P0942,"Wanatah, La Porte, Indiana, USA",41.428146,-86.892314
P0050,"Warren, St Joseph, Indiana, USA",41.666543,-86.279729
P1209,"Warsaw, Kosciusko, Indiana, USA",41.2228,-85.860179
P0154,"Warwick, Orange, New York, USA",41.25648,-74.35988
P0919,"Washington, LaPorte, Indiana, USA",41.614024,-86.720519
P1181,"Waterloo Lau, Alabama",34.925311,-87.991142
P3311,"Watervliet, Berrien County, Michigan, United States of America",42.161397,-86.271878
P0011,"Wayne, Fulton, Indiana, USA",41.12272,-86.38707
P0134,"Wayne, Noble, Indiana, USA",,
P2811,"West Bradford, Chester, Pennsylvania, USA",39.951953,-75.612653
P1022,"West Jefferson Boulevard , South Bend, St.Joseph, Indiana, USA",41.675063,-86.266401
P2798,"West Lafayette, Indiana, USA",40.467303,-86.928132
P0201,"West, Marshall, Indiana, USA",39.8481,-87.18779
P0445,"Westfield, Indiana, USA",40.04282,-86.12749
P2776,"Wheatland, Fayette, Illinois, USA",39.001125,-89.017923
P1855,"Wheeling, Marshall, West Virginia, USA",39.948359,-80.754337
P4141,"Whitley, Indiana, United States",41.136426,-85.501892
P1717,"Winter Haven, Florida, USA",27.987284,-81.762456
P2260,"York, York, Pennsylvania, USA",39.888667,-76.707058
